date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:45	53217/53217	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:13:42%20GMT	http://localhost/ShopOnline/index.php	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/index.html	(from )
21:13:45	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Dec%202019%2014:13:43%20GMT	http://localhost/robots.txt		(from )
21:13:45	21984/21984	---M--	200	added ('OK')	text/css	etag:%2255e0-5142939790380%22	http://localhost/ShopOnline/admin/themes/font-awesome/css/font-awesome.min.css	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/admin/themes/font-awesome/css/font-awesome.min.css	(from http://localhost/ShopOnline/index.php)
21:13:46	121229/121229	---M--	200	added ('OK')	text/css	etag:%221d98d-52db2d88b7500%22	http://localhost/ShopOnline/public/css/bootstrap.css	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/css/bootstrap.css	(from http://localhost/ShopOnline/index.php)
21:13:48	43313/43313	---M--	200	added ('OK')	text/css	etag:%22a931-52e3b2c41a100%22	http://localhost/ShopOnline/public/css/style.css	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/css/style.css	(from http://localhost/ShopOnline/index.php)
21:13:49	5104/5104	---M--	200	added ('OK')	text/css	etag:%2213f0-52d0e8a802800%22	http://localhost/ShopOnline/public/css/header.css	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/css/header.css	(from http://localhost/ShopOnline/index.php)
21:13:50	1211/1211	---M--	200	added ('OK')	text/css	etag:%224bb-52daca9538080%22	http://localhost/ShopOnline/public/css/livechat.css	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/css/livechat.css	(from http://localhost/ShopOnline/index.php)
21:13:50	6735/6735	---M--	200	added ('OK')	text/css	etag:%221a4f-52e36cdb73180%22	http://localhost/ShopOnline/public/css/memenu.css	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/public/css/memenu.css	(from http://localhost/ShopOnline/index.php)
21:13:52	24622/24622	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:13:50%20GMT	http://localhost/ShopOnline/intro	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/intro.html	(from http://localhost/ShopOnline/index.php)
21:13:52	17012/17012	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2014:13:50%20GMT	http://localhost/ShopOnline/contact	C:/Users/ACER/Desktop/trade/trade/localhost/ShopOnline/contact.html	(from http://localhost/ShopOnline/index.php)
